,ch_name,entropy,kurt
125,P3-Ref+imf9,2.092088895,-0.849832699
126,P3-Ref+imf8,2.186152107,-0.780272529
127,P3-Ref+imf7,2.111488603,-0.252192511
128,P3-Ref+imf6,2.087814071,-0.263546117
129,P3-Ref+imf5,1.764918352,2.6721611
130,P3-Ref+imf4,1.485643711,5.308749544
131,P3-Ref+imf3,0.851901056,28.41620324
132,P3-Ref+imf2,0.582445368,23.62980674
133,P3-Ref+imf1,0.221119041,66.94066213
134,C4-Ref+imf10,1.843333988,-1.260158773
135,C4-Ref+imf9,2.16342621,-0.88523862
136,C4-Ref+imf8,2.01795923,0.875694342
137,C4-Ref+imf7,2.15021791,-0.628605834
138,C4-Ref+imf6,2.089380569,0.035612241
139,C4-Ref+imf5,1.918518737,1.769990648
140,C4-Ref+imf4,1.642647099,2.06563141
141,C4-Ref+imf3,1.133259708,15.76376111
142,C4-Ref+imf2,0.604529362,47.17633583
143,C4-Ref+imf1,0.25123407,81.78998255
144,C3-Ref+imf11,1.705345727,-1.23169223
145,C3-Ref+imf10,2.000114698,-1.109318633
146,C3-Ref+imf9,1.898032865,0.353333684
147,C3-Ref+imf8,2.167006196,-0.7635421
148,C3-Ref+imf7,1.984096437,0.531627638
149,C3-Ref+imf6,2.000544547,1.344227157
150,C3-Ref+imf5,1.626033808,2.828699664
151,C3-Ref+imf4,1.397125246,5.935876432
152,C3-Ref+imf3,0.853814657,30.05437474
153,C3-Ref+imf2,0.533615576,57.21022205
154,C3-Ref+imf1,0.212171937,95.33530833
155,F4-Ref+imf10,1.216678622,-0.910492742
156,F4-Ref+imf9,1.992705832,-0.673431796
157,F4-Ref+imf8,1.944510761,0.929181782
158,F4-Ref+imf7,1.757795873,4.474869483
159,F4-Ref+imf6,2.062020047,0.385972763
160,F4-Ref+imf5,1.634537927,5.221067862
161,F4-Ref+imf4,0.887793019,10.68850115
162,F4-Ref+imf3,0.599808515,21.86655409
163,F4-Ref+imf2,0.356102259,55.2162728
164,F4-Ref+imf1,0.087874056,171.2319518
165,F3-Ref+imf11,1.727270435,-1.079605198
166,F3-Ref+imf10,2.025785127,-0.198570869
167,F3-Ref+imf9,2.008658663,0.173562707
168,F3-Ref+imf8,1.998825164,1.05157503
169,F3-Ref+imf7,1.977236889,0.442489975
170,F3-Ref+imf6,2.038393312,0.452409112
171,F3-Ref+imf5,1.909113742,2.314415838
172,F3-Ref+imf4,1.434598621,6.994479872
173,F3-Ref+imf3,0.892582831,16.03072193
174,F3-Ref+imf2,0.646198437,27.92944709
175,F3-Ref+imf1,0.25756048,108.9677737
176,Fp2-Ref+imf10,1.81685181,-1.468541344
177,Fp2-Ref+imf9,2.134200317,-1.17164926
178,Fp2-Ref+imf8,2.081781948,-0.016015723
179,Fp2-Ref+imf7,1.978665347,1.499931156
180,Fp2-Ref+imf6,1.982313308,1.229093292
181,Fp2-Ref+imf5,1.96902646,0.625010289
182,Fp2-Ref+imf4,1.185680491,8.690051075
183,Fp2-Ref+imf3,0.507538078,28.58949201
184,Fp2-Ref+imf2,0.505649069,60.00936129
185,Fp2-Ref+imf1,0.199382489,163.0327628
186,Fp1-Ref+imf11,1.929887745,-1.268476234
187,Fp1-Ref+imf10,1.706546461,-1.454953545
188,Fp1-Ref+imf9,2.078857894,-1.321824267
189,Fp1-Ref+imf8,2.097686778,-0.555216
190,Fp1-Ref+imf7,2.125430346,-0.481282667
191,Fp1-Ref+imf6,2.148689834,-0.682488035
192,Fp1-Ref+imf5,1.879556209,1.070945323
193,Fp1-Ref+imf4,1.267264507,6.185415217
194,Fp1-Ref+imf3,0.8391126,15.32738583
195,Fp1-Ref+imf2,0.576732792,41.28727151
196,Fp1-Ref+imf1,0.254714953,83.79838142
